Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,JobRole,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,training,JobSatisfaction,PerformanceRating,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
33,Non-Travel,364,Research & Development,33,4,36,Healthcare Representative,Medical,2,F,4,3,3,1,Single,2,No,13,1,2,38,1,8,15,7,3,Yes
37,Non-Travel,1130,Human Resources,27,5,57,Sales Executive,Other,4,F,3,1,4,2,Married,3,No,16,3,2,20,2,33,0,0,15,No
42,Travel_Rarely,1429,Sales,50,5,106,Manufacturing Director,Life Sciences,3,F,3,0,3,2,Married,8,No,21,2,3,31,3,27,12,15,5,Yes
32,Travel_Frequently,767,Sales,28,2,82,Manager,Technical Degree,4,M,3,5,4,4,Married,3,No,19,2,1,37,3,14,13,7,14,No
37,Travel_Frequently,1429,Research & Development,6,3,108,Manufacturing Director,Medical,3,F,2,0,4,4,Married,8,No,21,3,2,13,2,37,15,6,8,No
26,Travel_Frequently,145,Human Resources,23,4,45,Sales Representative,Life Sciences,1,M,1,5,4,3,Single,6,No,20,3,2,24,1,16,8,8,14,No
18,Travel_Rarely,584,Human Resources,42,5,112,Manufacturing Director,Sales,3,M,2,0,1,4,Married,5,No,10,3,2,36,3,19,19,10,4,No
27,Travel_Rarely,1405,Human Resources,4,2,150,Research Scientist,Technical Degree,4,F,2,3,1,2,Married,5,No,18,4,1,37,2,35,2,9,0,No
30,Non-Travel,899,Sales,5,3,107,Manufacturing Director,Other,4,F,3,1,1,4,Single,2,No,20,3,2,29,1,32,4,15,2,No
41,Non-Travel,553,Human Resources,6,3,126,Manufacturing Director,Medical,3,M,1,6,3,1,Married,1,No,22,3,2,20,1,30,14,10,5,Yes
52,Travel_Rarely,368,Research & Development,37,1,124,Healthcare Representative,Technical Degree,1,F,4,0,3,2,Married,8,No,16,3,0,32,2,1,9,14,0,Yes
60,Travel_Frequently,879,Human Resources,23,4,45,Sales Representative,Sales,2,F,2,6,1,3,Married,2,No,21,3,2,21,3,35,1,2,4,No
44,Travel_Frequently,109,Human Resources,44,5,132,Sales Executive,Life Sciences,4,F,2,5,3,1,Single,3,No,17,1,3,2,2,3,19,9,4,Yes
58,Travel_Rarely,152,Research & Development,24,1,93,Human Resources,Technical Degree,2,F,3,4,2,3,Married,2,No,15,4,1,2,1,7,19,2,15,No
43,Travel_Frequently,906,Human Resources,22,2,93,Manufacturing Director,Technical Degree,4,F,2,6,3,3,Married,2,No,24,2,0,13,4,33,13,14,1,No
43,Travel_Rarely,1255,Research & Development,44,4,121,Sales Executive,Human Resources,3,M,3,0,4,2,Married,4,No,23,1,3,1,2,8,10,0,2,No
54,Travel_Rarely,532,Human Resources,39,1,72,Sales Representative,Human Resources,4,M,4,1,4,1,Single,5,No,11,2,1,13,2,40,3,4,10,No
28,Non-Travel,1303,Human Resources,3,3,60,Sales Representative,Life Sciences,3,F,3,5,1,3,Single,0,No,20,1,1,8,4,37,8,12,7,No
24,Non-Travel,950,Sales,31,4,88,Research Director,Life Sciences,3,F,4,2,4,3,Single,8,No,15,4,3,8,1,7,11,5,6,Yes
53,Non-Travel,656,Human Resources,20,4,116,Research Scientist,Sales,1,F,4,3,3,2,Married,5,No,21,2,2,14,3,22,20,1,5,No
27,Non-Travel,271,Human Resources,29,4,52,Sales Representative,Life Sciences,1,M,1,4,1,4,Single,6,No,25,3,2,4,4,34,17,12,4,No
35,Travel_Rarely,1325,Research & Development,48,1,119,Laboratory Technician,Technical Degree,3,M,1,3,3,2,Single,8,No,16,2,1,30,1,19,3,14,9,No
26,Non-Travel,566,Human Resources,38,3,39,Sales Representative,Technical Degree,2,F,1,4,1,1,Married,6,No,12,4,2,7,2,0,14,2,2,No
37,Non-Travel,1344,Research & Development,4,2,138,Manufacturing Director,Other,4,M,3,0,2,3,Single,8,No,14,3,0,10,1,13,15,12,3,No
30,Non-Travel,345,Human Resources,3,3,36,Laboratory Technician,Technical Degree,3,F,3,3,3,3,Single,7,No,18,2,2,7,3,7,6,1,8,No
26,Non-Travel,948,Sales,37,2,129,Manager,Human Resources,1,M,1,3,4,3,Married,7,No,10,2,0,1,1,32,14,13,0,No
26,Non-Travel,1307,Sales,10,5,106,Sales Executive,Sales,3,F,2,5,2,1,Married,0,No,24,1,3,40,3,15,3,10,4,Yes
31,Travel_Frequently,520,Sales,17,2,71,Laboratory Technician,Life Sciences,2,M,4,2,3,3,Single,2,No,13,2,1,29,2,1,3,10,1,No
24,Non-Travel,695,Sales,8,1,144,Laboratory Technician,Human Resources,3,M,2,3,1,1,Married,5,No,22,4,1,37,2,29,17,5,7,Yes
46,Non-Travel,102,Human Resources,37,5,35,Research Director,Sales,2,F,1,1,4,2,Married,0,No,14,2,2,19,2,31,9,11,16,Yes
51,Travel_Rarely,921,Sales,14,1,147,Laboratory Technician,Technical Degree,2,M,4,0,2,3,Single,5,No,20,3,1,38,2,18,0,0,0,Yes
60,Travel_Frequently,1367,Research & Development,35,5,63,Sales Executive,Sales,4,F,4,2,1,2,Married,3,No,20,1,3,3,2,9,18,10,5,Yes
26,Non-Travel,1392,Research & Development,10,2,32,Sales Representative,Other,3,F,3,1,4,3,Single,4,No,21,4,1,4,3,15,18,7,14,Yes
29,Travel_Rarely,236,Human Resources,34,1,56,Sales Representative,Other,1,M,1,2,1,2,Single,0,No,23,4,0,33,1,11,5,6,3,Yes
47,Travel_Rarely,751,Sales,24,5,75,Research Director,Other,3,M,3,0,1,4,Married,1,No,15,3,3,28,4,15,6,14,8,No
56,Travel_Frequently,701,Research & Development,34,3,51,Manager,Human Resources,2,M,1,5,3,4,Single,6,No,24,1,2,22,3,37,7,10,3,No
31,Non-Travel,538,Research & Development,17,3,131,Manufacturing Director,Sales,4,M,3,0,1,3,Married,2,No,22,2,2,8,2,21,19,12,11,No
44,Non-Travel,1477,Human Resources,39,1,61,Laboratory Technician,Technical Degree,2,M,4,5,3,4,Married,8,No,16,2,0,40,4,26,2,1,15,No
32,Travel_Frequently,1445,Human Resources,7,3,103,Sales Executive,Human Resources,3,M,2,6,2,3,Single,8,No,12,2,2,12,1,35,20,0,17,No
28,Travel_Rarely,1052,Human Resources,3,2,30,Healthcare Representative,Medical,3,M,4,3,2,3,Married,3,No,18,3,1,5,2,18,10,13,17,No
58,Non-Travel,983,Sales,13,1,124,Sales Representative,Technical Degree,2,F,1,0,2,4,Married,0,No,12,1,1,29,2,26,11,8,6,No
37,Non-Travel,762,Human Resources,16,4,64,Manufacturing Director,Sales,4,M,3,0,4,3,Married,1,No,21,3,3,7,4,3,1,8,4,No
32,Non-Travel,319,Research & Development,37,2,113,Manager,Technical Degree,3,F,2,6,4,1,Single,7,No,19,3,0,35,4,24,4,0,13,Yes
46,Travel_Frequently,752,Research & Development,43,2,70,Research Director,Technical Degree,3,M,3,6,2,4,Married,3,No,23,3,0,16,2,15,8,0,4,No
23,Non-Travel,1014,Research & Development,19,5,30,Manufacturing Director,Sales,2,M,4,4,4,4,Married,4,No,19,1,2,29,2,9,13,12,3,No
30,Travel_Rarely,153,Sales,36,5,97,Sales Executive,Medical,3,M,1,6,3,4,Single,7,No,22,4,2,1,1,40,12,14,11,No
36,Non-Travel,438,Research & Development,43,5,135,Manufacturing Director,Human Resources,2,M,3,1,1,3,Single,4,No,25,2,2,9,4,2,14,4,3,Yes
30,Travel_Rarely,1035,Human Resources,11,2,83,Research Director,Human Resources,3,F,2,0,1,3,Single,7,No,24,4,1,34,3,21,20,7,9,Yes
41,Travel_Rarely,200,Human Resources,3,5,115,Research Scientist,Sales,2,F,4,1,4,4,Single,5,No,16,2,2,16,4,26,5,1,12,No
57,Travel_Frequently,616,Sales,29,5,36,Sales Executive,Technical Degree,3,F,4,5,4,3,Single,8,No,22,1,3,11,3,39,19,15,4,No
59,Travel_Frequently,1400,Human Resources,36,2,66,Laboratory Technician,Human Resources,1,M,2,4,1,3,Single,4,No,15,3,1,11,2,9,10,15,7,No
54,Travel_Rarely,282,Human Resources,22,4,79,Sales Representative,Medical,4,F,1,0,3,3,Married,0,No,16,3,3,31,3,25,2,6,11,No
27,Travel_Frequently,500,Human Resources,23,4,43,Laboratory Technician,Life Sciences,2,F,1,6,2,3,Single,7,No,18,2,3,8,1,13,4,7,3,No
33,Non-Travel,842,Research & Development,32,4,135,Research Director,Medical,4,M,4,5,3,1,Married,4,No,11,3,2,35,2,40,5,0,12,Yes
46,Non-Travel,1478,Sales,38,1,40,Laboratory Technician,Technical Degree,3,M,2,4,2,4,Married,2,No,17,4,1,38,4,9,1,10,6,No
26,Travel_Frequently,1046,Research & Development,38,4,69,Research Scientist,Human Resources,1,F,4,1,1,4,Single,7,No,24,2,3,22,2,14,10,13,14,No
39,Travel_Frequently,981,Sales,9,3,39,Laboratory Technician,Medical,2,M,1,0,2,3,Married,2,No,24,4,2,1,1,19,12,7,16,No
47,Travel_Frequently,1454,Research & Development,3,1,42,Sales Representative,Life Sciences,4,F,2,2,2,4,Single,7,No,21,2,0,26,3,15,11,0,17,No
31,Travel_Frequently,860,Human Resources,13,2,149,Research Director,Life Sciences,4,M,2,1,1,1,Married,0,No,20,1,1,7,2,22,4,5,2,No
29,Travel_Rarely,499,Research & Development,10,2,70,Healthcare Representative,Other,4,M,3,2,1,4,Married,7,No,18,4,1,20,3,34,16,5,0,No
40,Non-Travel,126,Sales,32,2,81,Sales Executive,Human Resources,4,F,2,6,4,3,Single,5,No,10,3,1,11,4,30,1,3,17,No
46,Travel_Frequently,1160,Human Resources,42,2,143,Sales Executive,Sales,1,F,2,1,1,1,Single,4,No,13,1,0,5,3,31,3,9,6,Yes
45,Travel_Rarely,105,Human Resources,1,4,146,Manufacturing Director,Human Resources,2,F,1,3,2,1,Married,7,No,20,3,2,20,4,13,14,9,7,Yes
44,Travel_Rarely,1331,Research & Development,16,5,97,Sales Executive,Other,2,F,1,2,4,3,Single,7,No,11,1,2,28,3,34,0,12,1,No
38,Travel_Rarely,928,Human Resources,37,5,129,Manager,Sales,2,M,3,1,3,1,Single,0,No,17,2,2,21,3,16,9,7,0,Yes
56,Non-Travel,692,Research & Development,4,5,145,Research Scientist,Sales,2,M,1,6,4,3,Single,2,No,10,1,2,5,2,15,19,1,0,Yes
59,Travel_Frequently,565,Research & Development,12,1,119,Sales Representative,Human Resources,1,F,4,4,2,2,Single,3,No,22,3,1,13,4,30,4,0,10,Yes
51,Travel_Frequently,351,Human Resources,38,2,138,Sales Executive,Other,4,M,3,3,3,2,Married,4,No,22,2,1,39,4,10,10,11,0,Yes
42,Travel_Rarely,514,Human Resources,34,3,61,Research Scientist,Sales,4,M,1,4,4,1,Married,6,No,13,1,1,25,3,0,0,13,0,Yes
24,Travel_Rarely,642,Sales,50,3,65,Healthcare Representative,Other,1,F,2,4,4,3,Single,0,No,23,2,1,11,2,20,14,11,16,No
30,Non-Travel,343,Human Resources,27,3,95,Sales Executive,Other,1,F,1,6,3,4,Married,7,No,21,1,2,21,2,31,12,9,11,No
54,Travel_Frequently,1443,Sales,29,4,40,Laboratory Technician,Technical Degree,4,F,2,2,1,2,Married,1,No,13,4,3,20,4,40,12,7,9,No
22,Travel_Rarely,429,Sales,23,2,118,Manager,Human Resources,2,M,3,1,1,2,Single,8,No,24,2,0,10,3,34,5,3,1,Yes
24,Travel_Frequently,840,Human Resources,9,4,98,Human Resources,Other,2,M,4,1,3,1,Single,2,No,10,1,3,14,1,37,12,2,11,Yes
18,Travel_Frequently,1211,Research & Development,27,4,78,Sales Representative,Sales,1,M,3,1,3,1,Married,6,No,16,4,3,3,3,12,0,3,16,Yes
53,Travel_Rarely,1329,Research & Development,37,1,48,Human Resources,Life Sciences,3,F,1,2,2,2,Married,8,No,16,3,1,2,2,40,0,10,10,Yes
38,Non-Travel,105,Research & Development,35,3,40,Sales Representative,Life Sciences,4,M,3,4,2,3,Single,5,No,22,2,1,27,1,23,4,15,0,No
48,Travel_Rarely,1465,Research & Development,31,4,141,Manufacturing Director,Other,1,F,2,2,3,1,Single,5,No,15,3,2,29,3,16,2,5,16,Yes
45,Travel_Frequently,126,Research & Development,16,4,143,Manufacturing Director,Other,2,M,1,1,4,4,Single,3,No,12,4,2,40,3,26,12,8,4,No
30,Travel_Rarely,128,Research & Development,26,4,134,Manager,Medical,3,F,3,1,1,1,Single,0,No,16,1,3,16,2,35,12,1,0,No
18,Travel_Frequently,696,Human Resources,34,3,116,Research Director,Human Resources,4,M,2,3,2,3,Married,0,No,20,4,1,29,2,23,12,11,16,No
55,Non-Travel,821,Research & Development,16,1,36,Sales Representative,Medical,3,M,3,1,1,4,Single,7,No,24,1,1,24,4,27,14,3,16,No
36,Non-Travel,1084,Human Resources,23,5,66,Manufacturing Director,Technical Degree,4,F,4,2,1,2,Single,7,No,19,3,2,26,1,28,1,11,7,Yes
37,Travel_Frequently,1277,Sales,23,5,101,Sales Executive,Human Resources,3,F,2,4,3,2,Single,7,No,16,3,2,19,3,19,19,11,7,Yes
38,Travel_Frequently,225,Research & Development,35,4,122,Research Scientist,Other,1,M,1,3,3,4,Single,5,No,13,2,3,22,2,6,17,11,4,No
56,Travel_Rarely,170,Research & Development,12,5,66,Research Director,Human Resources,4,M,1,0,3,1,Married,8,No,13,3,3,35,1,31,19,9,7,Yes
37,Travel_Rarely,440,Human Resources,15,2,90,Sales Representative,Human Resources,2,F,2,0,3,3,Single,4,No,13,1,1,1,2,39,9,0,15,No
34,Travel_Frequently,250,Research & Development,1,3,31,Healthcare Representative,Sales,2,M,1,2,1,2,Married,4,No,11,2,1,21,4,16,2,11,4,Yes
26,Non-Travel,1193,Sales,46,2,53,Laboratory Technician,Other,3,M,3,3,3,1,Single,5,No,16,2,1,9,3,11,3,8,15,Yes
57,Non-Travel,1112,Human Resources,12,1,136,Healthcare Representative,Medical,3,M,1,3,2,1,Married,1,No,25,1,1,16,3,40,19,12,11,Yes
22,Non-Travel,1470,Sales,43,1,32,Sales Representative,Technical Degree,4,F,4,3,4,3,Single,2,No,17,3,1,11,1,33,19,5,0,Yes
28,Non-Travel,1177,Sales,22,3,47,Human Resources,Sales,2,M,1,6,1,4,Married,7,No,10,2,2,39,2,16,10,2,11,No
31,Travel_Rarely,493,Human Resources,45,3,142,Sales Executive,Human Resources,2,M,1,1,1,3,Single,0,No,20,4,2,16,2,40,5,4,3,No
31,Non-Travel,454,Research & Development,8,2,76,Research Director,Human Resources,1,M,1,6,4,2,Single,4,No,21,3,1,40,1,9,17,9,4,Yes
56,Travel_Rarely,561,Research & Development,37,3,90,Research Director,Life Sciences,3,M,2,2,4,4,Single,4,No,21,4,2,4,3,30,15,5,6,No
46,Travel_Frequently,592,Sales,27,2,74,Healthcare Representative,Technical Degree,1,F,4,1,1,3,Married,4,No,17,4,1,28,4,38,0,1,3,No
26,Travel_Frequently,504,Human Resources,19,3,97,Research Scientist,Technical Degree,1,M,4,3,4,2,Married,4,No,17,3,2,22,4,16,19,8,14,Yes
48,Non-Travel,565,Human Resources,23,4,69,Manufacturing Director,Human Resources,1,M,4,1,2,2,Married,8,No,21,2,2,10,1,37,15,14,4,No
19,Non-Travel,600,Research & Development,33,2,55,Human Resources,Medical,1,M,2,4,4,3,Single,5,No,21,3,1,12,4,19,1,3,11,No
25,Travel_Rarely,289,Sales,10,5,116,Manufacturing Director,Life Sciences,3,M,4,5,3,4,Married,6,No,17,3,3,6,1,0,15,5,16,No
54,Travel_Rarely,1468,Research & Development,28,5,118,Research Director,Other,4,M,4,4,4,4,Married,8,No,12,3,2,3,4,18,7,0,10,No
29,Travel_Rarely,1033,Research & Development,10,3,50,Sales Representative,Technical Degree,4,F,2,2,2,4,Single,6,No,10,4,1,15,3,39,11,8,12,No
37,Non-Travel,338,Research & Development,40,1,36,Human Resources,Sales,3,M,1,6,4,2,Married,1,No,19,3,1,30,4,29,12,9,9,Yes
41,Travel_Frequently,1011,Human Resources,24,1,59,Sales Representative,Human Resources,2,M,3,2,4,4,Married,6,No,24,3,0,7,2,10,15,0,10,No
21,Non-Travel,1355,Human Resources,13,1,105,Sales Representative,Other,4,M,1,2,1,3,Married,1,No,23,3,1,31,1,7,1,8,17,No
48,Travel_Frequently,968,Human Resources,38,1,139,Sales Representative,Sales,3,F,2,1,1,4,Married,3,No,19,3,1,40,4,38,3,9,14,No
39,Travel_Rarely,741,Sales,44,3,140,Manager,Sales,2,F,1,4,2,2,Married,3,No,22,2,1,39,4,33,9,8,15,Yes
56,Non-Travel,629,Human Resources,29,2,31,Sales Representative,Other,2,F,3,3,4,3,Married,3,No,12,3,1,32,1,3,20,13,9,No
52,Non-Travel,1426,Sales,16,2,123,Sales Executive,Sales,2,M,4,2,4,4,Married,5,No,16,3,1,40,2,30,12,5,15,No
23,Travel_Frequently,678,Sales,8,3,87,Research Scientist,Life Sciences,2,F,1,6,3,3,Single,6,No,11,1,2,35,1,18,19,15,4,Yes
21,Non-Travel,428,Sales,37,2,71,Sales Executive,Other,4,M,2,6,4,3,Single,7,No,11,2,0,30,2,28,10,2,8,No
21,Travel_Frequently,629,Sales,38,3,107,Manufacturing Director,Technical Degree,1,M,2,1,3,3,Single,0,No,13,4,2,5,2,0,6,11,17,No
57,Travel_Frequently,635,Sales,32,2,148,Sales Executive,Human Resources,4,M,1,2,4,2,Married,7,No,20,1,0,31,2,8,14,3,2,Yes
49,Non-Travel,543,Sales,4,1,92,Healthcare Representative,Other,3,M,4,5,2,2,Married,1,No,24,3,1,40,4,40,15,10,15,Yes
44,Non-Travel,1021,Sales,13,2,126,Sales Executive,Medical,3,F,1,3,1,2,Single,6,No,25,2,0,22,4,5,8,12,8,Yes
36,Non-Travel,1375,Sales,41,2,124,Research Scientist,Life Sciences,4,M,4,1,3,1,Married,2,No,15,3,1,0,3,19,13,10,5,Yes
54,Travel_Rarely,1088,Research & Development,32,5,52,Research Director,Medical,2,M,1,4,2,3,Married,4,No,21,3,2,23,1,15,1,3,8,No
54,Non-Travel,962,Human Resources,6,5,133,Human Resources,Technical Degree,3,F,4,1,2,2,Single,4,No,11,2,3,30,4,24,16,14,16,Yes
58,Travel_Rarely,207,Sales,11,3,42,Sales Representative,Life Sciences,3,M,1,2,2,4,Single,1,No,20,4,1,37,3,33,20,0,15,No
29,Travel_Rarely,526,Sales,48,5,84,Manufacturing Director,Medical,2,F,1,3,4,2,Single,2,No,11,2,2,7,4,5,13,13,6,No
48,Travel_Rarely,1043,Sales,28,1,100,Sales Representative,Technical Degree,1,F,2,0,3,1,Single,1,No,17,1,1,35,3,13,1,14,9,Yes
23,Non-Travel,652,Research & Development,45,1,126,Sales Representative,Human Resources,3,F,3,5,4,2,Single,6,No,19,2,1,24,4,36,17,7,7,Yes
36,Travel_Rarely,270,Sales,8,5,86,Sales Executive,Medical,2,F,1,4,2,2,Single,7,No,12,1,3,18,1,6,14,14,0,Yes
59,Travel_Frequently,1229,Sales,27,1,123,Human Resources,Life Sciences,2,M,1,6,4,3,Married,4,No,10,3,1,36,1,4,3,13,9,No
52,Travel_Rarely,221,Human Resources,47,2,127,Research Scientist,Other,2,M,3,4,1,3,Married,4,No,18,3,0,31,2,12,18,3,12,Yes
58,Travel_Rarely,250,Sales,27,4,48,Human Resources,Technical Degree,3,M,2,1,3,3,Single,5,No,16,4,3,19,4,3,6,10,7,No
58,Non-Travel,1177,Research & Development,34,3,129,Manufacturing Director,Other,3,F,3,6,2,1,Single,3,No,19,3,2,23,3,17,6,1,0,No
22,Travel_Frequently,937,Sales,47,2,104,Manufacturing Director,Other,3,F,2,5,2,4,Single,7,No,22,1,0,10,2,22,8,8,9,No
49,Non-Travel,705,Research & Development,48,3,131,Research Director,Sales,2,F,1,5,2,4,Single,1,No,19,3,1,16,1,35,16,7,14,No
59,Non-Travel,1442,Research & Development,36,5,125,Manager,Sales,4,F,1,1,3,3,Married,0,No,15,3,3,17,1,11,1,11,1,No
35,Non-Travel,1014,Human Resources,5,1,121,Human Resources,Technical Degree,1,F,3,1,3,3,Single,8,No,25,4,1,18,3,23,17,8,11,No
56,Non-Travel,727,Sales,34,3,79,Manager,Human Resources,4,F,4,5,4,4,Single,2,No,21,1,2,26,1,40,16,4,6,No
48,Non-Travel,468,Sales,14,5,138,Manufacturing Director,Sales,4,F,3,6,4,3,Single,3,No,23,2,2,30,4,4,7,13,4,No
56,Travel_Rarely,566,Human Resources,7,1,59,Sales Representative,Sales,4,M,2,3,1,2,Single,0,No,21,2,1,12,3,19,17,9,11,Yes
58,Travel_Frequently,513,Research & Development,30,1,66,Human Resources,Other,2,F,2,2,1,3,Married,8,No,10,3,0,38,1,18,11,6,2,Yes
23,Non-Travel,1038,Research & Development,23,3,77,Manager,Technical Degree,2,F,1,2,4,3,Single,5,No,10,3,2,4,2,12,0,12,11,No
51,Travel_Rarely,563,Human Resources,42,4,127,Sales Executive,Sales,3,M,4,1,2,3,Married,3,No,24,1,2,20,4,34,5,14,12,No
48,Travel_Frequently,323,Human Resources,48,2,100,Human Resources,Technical Degree,2,M,3,4,3,1,Single,8,No,20,4,0,35,3,11,11,12,0,No
47,Non-Travel,1314,Research & Development,19,2,37,Sales Representative,Medical,3,F,1,1,1,2,Single,1,No,11,2,0,7,2,6,6,3,4,Yes
30,Travel_Rarely,613,Research & Development,22,4,34,Sales Representative,Human Resources,2,F,3,3,1,4,Married,1,No,19,3,3,15,2,21,3,15,17,No
23,Non-Travel,818,Human Resources,13,1,148,Healthcare Representative,Other,4,F,2,0,4,3,Married,2,No,15,2,0,16,3,13,2,4,4,No
47,Travel_Frequently,469,Sales,18,1,31,Human Resources,Life Sciences,1,M,2,3,1,3,Married,3,No,17,3,0,24,1,37,6,10,6,No
59,Travel_Rarely,386,Human Resources,36,4,115,Manufacturing Director,Human Resources,1,F,4,6,4,4,Single,5,No,10,4,3,30,2,36,19,3,16,No
52,Travel_Frequently,808,Human Resources,49,3,136,Research Director,Life Sciences,4,F,2,0,2,3,Married,7,No,11,4,2,37,1,40,13,5,9,No
48,Travel_Frequently,712,Research & Development,31,3,129,Sales Executive,Life Sciences,1,M,2,1,3,4,Single,0,No,25,3,1,11,3,31,11,3,13,No
33,Travel_Frequently,619,Human Resources,5,4,113,Manufacturing Director,Medical,3,M,2,4,4,1,Single,7,No,25,3,3,36,1,40,0,5,0,No
42,Travel_Rarely,740,Human Resources,9,4,81,Sales Executive,Other,3,F,2,3,4,3,Single,3,No,16,1,3,18,3,39,14,7,13,No
51,Travel_Rarely,1446,Research & Development,50,5,145,Human Resources,Technical Degree,3,F,1,1,3,4,Married,1,No,11,2,3,11,3,33,12,4,5,No
56,Travel_Frequently,1050,Human Resources,44,3,96,Research Director,Other,3,M,1,2,2,2,Single,0,No,23,2,1,13,4,37,18,0,7,Yes
47,Non-Travel,166,Sales,50,3,39,Human Resources,Medical,1,F,4,5,2,4,Married,3,No,17,3,2,5,3,0,2,11,15,No
46,Travel_Rarely,1331,Research & Development,28,2,139,Sales Executive,Medical,2,F,4,4,4,4,Single,8,No,15,2,0,8,4,7,13,11,6,No
54,Travel_Rarely,532,Sales,26,4,70,Healthcare Representative,Human Resources,3,M,1,5,4,3,Married,8,No,10,2,2,32,3,2,17,13,13,No
35,Travel_Frequently,1402,Research & Development,39,5,61,Sales Executive,Other,3,M,3,1,1,2,Single,2,No,22,3,2,20,3,13,11,8,1,Yes
38,Travel_Frequently,1462,Research & Development,23,3,35,Healthcare Representative,Medical,2,F,3,2,4,4,Married,1,No,18,3,1,18,3,31,18,4,11,No
20,Travel_Frequently,407,Research & Development,27,4,50,Research Scientist,Medical,1,F,3,2,2,2,Married,8,No,17,1,3,1,4,24,17,1,8,Yes
23,Non-Travel,1276,Research & Development,2,1,67,Sales Representative,Other,3,F,1,4,4,2,Single,4,No,14,1,0,13,4,26,8,1,5,Yes
57,Non-Travel,1462,Human Resources,37,1,89,Sales Representative,Technical Degree,1,F,3,5,3,4,Married,7,No,23,2,0,38,3,10,13,4,0,No
35,Travel_Rarely,150,Research & Development,33,2,84,Healthcare Representative,Medical,1,M,2,2,1,2,Married,7,No,17,2,1,38,3,31,6,5,8,No
56,Travel_Rarely,764,Human Resources,9,3,46,Healthcare Representative,Technical Degree,4,F,2,2,2,4,Married,4,No,10,1,2,31,4,31,5,3,11,No
19,Travel_Rarely,1377,Human Resources,44,2,42,Healthcare Representative,Other,1,M,2,5,4,4,Married,6,No,25,2,0,15,4,13,20,14,11,No
25,Travel_Frequently,617,Human Resources,10,2,122,Sales Executive,Sales,4,M,4,3,4,3,Single,2,No,14,2,0,17,2,36,3,13,17,No
39,Non-Travel,297,Sales,18,4,70,Laboratory Technician,Human Resources,2,M,2,3,2,1,Single,1,No,19,3,3,30,3,16,14,11,1,Yes
27,Travel_Frequently,1401,Human Resources,35,1,110,Human Resources,Technical Degree,1,F,3,4,1,4,Single,4,No,25,3,1,0,2,15,0,0,5,No
53,Travel_Rarely,741,Sales,26,5,142,Manufacturing Director,Life Sciences,3,F,3,0,3,1,Married,1,No,17,2,3,35,2,23,5,15,12,Yes
48,Travel_Rarely,923,Research & Development,32,1,36,Sales Representative,Human Resources,4,F,1,1,4,3,Married,0,No,20,2,1,32,3,37,6,9,2,No
34,Travel_Frequently,801,Human Resources,49,2,113,Research Director,Life Sciences,4,F,1,0,3,4,Single,7,No,17,3,0,17,3,2,20,7,5,No
35,Travel_Frequently,1416,Research & Development,19,2,133,Manager,Life Sciences,1,M,1,1,2,4,Married,4,No,13,1,0,19,4,4,14,0,11,No
23,Non-Travel,379,Research & Development,36,1,59,Laboratory Technician,Other,3,M,2,5,2,1,Single,6,No,13,3,1,34,4,31,17,6,15,Yes
50,Travel_Frequently,1047,Sales,38,1,30,Laboratory Technician,Medical,3,M,4,5,3,4,Single,5,No,18,3,0,35,4,2,5,12,2,No
32,Non-Travel,283,Sales,30,1,149,Sales Representative,Life Sciences,4,M,4,3,4,3,Married,7,No,22,2,1,23,2,34,7,14,8,Yes
57,Travel_Rarely,930,Human Resources,19,4,129,Sales Executive,Technical Degree,4,M,4,2,3,3,Married,6,No,12,3,3,25,1,40,6,6,5,No
53,Non-Travel,693,Human Resources,2,5,52,Research Scientist,Life Sciences,4,F,2,6,1,2,Married,5,No,10,4,2,14,3,16,3,1,10,No
20,Non-Travel,578,Sales,30,4,111,Sales Executive,Sales,1,F,4,2,1,4,Married,8,No,17,3,2,15,3,1,13,3,12,No
57,Travel_Rarely,626,Human Resources,29,4,113,Research Director,Sales,2,M,2,5,1,3,Single,6,No,23,3,3,32,3,34,4,10,2,No
27,Travel_Frequently,293,Sales,38,2,68,Research Scientist,Medical,1,F,4,2,1,1,Single,3,No,25,1,0,3,1,5,2,14,4,No
27,Non-Travel,1310,Research & Development,30,4,81,Sales Executive,Sales,1,M,3,3,1,1,Married,7,No,23,3,3,16,3,25,4,0,10,Yes
55,Travel_Frequently,1012,Research & Development,15,5,118,Manager,Technical Degree,3,F,3,6,4,4,Single,1,No,17,3,2,10,3,3,1,1,15,No
22,Travel_Frequently,684,Research & Development,24,2,56,Laboratory Technician,Sales,1,F,2,5,3,2,Married,4,No,22,2,0,5,3,2,13,0,2,Yes
56,Travel_Frequently,1460,Sales,26,2,99,Sales Executive,Technical Degree,3,F,4,6,3,2,Married,7,No,23,3,1,3,3,13,13,1,6,No
39,Travel_Rarely,236,Human Resources,8,1,64,Laboratory Technician,Medical,3,F,1,4,3,1,Married,3,No,17,1,0,15,1,7,16,3,6,Yes
38,Travel_Frequently,597,Research & Development,19,3,62,Human Resources,Other,2,F,2,3,2,1,Single,2,No,16,4,2,20,2,28,2,10,6,Yes
